ステージ,番号,問題,選択肢1(正解),選択肢2,選択肢3,選択肢4,メモ欄(任意),,,
1,1,日本の首都は?,東京,大阪,ニューヨーク,京都,,,,
1,2,日本の面積は？,38万km^2,28万km^2,48万km^2,58万km^2,,,,
1,3,日本で一番高い山は？,富士山,剣山,阿蘇山,磐梯山,,,,
1,4,日本一長い川「信濃川」の長さは？,367km,368km,356km,376km,,,,
1,5,日本で一番流域面積が広い川は？,利根川,信濃川,阿武隈川,石狩川,,,,
2,1,日本の都道府県の数は？,47,43,44,48,,,,
2,2,日本の最北端の島は？,択捉島,国後島,南鳥島,与那国島,,,,
2,3,日本の最南端の島は？,沖ノ鳥島,南鳥島,佐渡島,択捉島,,,,
2,4,日本の最西端の島は？,与那国島,石垣島,奄美大島,西表島,,,,
2,5,日本の最東端の島は？,南鳥島,奄美大島,沖ノ鳥島,淡路島,,,,
3,1,日本の標準時子午線は経度何度？,東経135度,西経135度,東経45度,西経45度,,,,
3,2,日本の標準時子午線が通る都市は？,兵庫県明石市,兵庫県姫路市,大阪府明石市,大阪府姫路市,,,,
3,3,日本が属している造山帯は？,環太平洋造山帯,アルプス・ヒマラヤ造山帯,環太西洋造山帯,ロッキー・アンデス造山帯,,,,
3,4,日本は世界のどの州に属するか？,アジア州,ヨーロッパ州,オセアニア州,アフリカ州,,,,
3,5,日本の人口は約何人か？,約1億2000万人,約1億3000万人,約1億人,約1億4000万人,,,,
4,1,日本の最低気温を記録した都市はどこか？,北海道旭川市,北海道札幌市,北海道釧路市,北海道函館市,,,,
4,2,日本の最高気温を記録した都市はどこか？,高知県四万十市,沖縄県那覇市,岐阜県多治見市,鹿児島県鹿児島市,,,,
4,3,日本のように周りを海で囲まれた国を何というか？,島国,海国,海産国,シー・カントリー,,,,
4,4,日本で県名と県庁所在地名が違う都市は何個あるか？（東京を含む）,19,20,18,17,,,,
4,5,日本で唯一県庁所在地名がひらがなの都道府県はどこか？,埼玉県,群馬県,栃木県,茨城県,,,,
5,1,日本の緯度は何度か？,北緯35度,南緯35度,北緯45度,南緯45度,,,,
5,2,東京の経度は約何度か？,東経139度,東経135度,西経139度,西経135度,,,,
5,3,北緯40度を通る都道府県の組み合わせは？,岩手と秋田,宮城と岩手,宮城と秋田,青森と秋田,,,,
5,4,日本一北にある市町村は？,北海道稚内市,北海道札幌市,北海道釧路市,北海道石狩市,,,,
5,5,この中で東京都でないものは？,与那国島,沖ノ鳥島,南鳥島,八丈島,,,,
6,1,日本とイギリスの時差は何時間か？,9時間,8時間,6時間,10時間,,,,
6,2,日本とニューヨークの時差は何時間か？,14時間,13時間,11時間,10時間,,,,
6,3,日本とロサンゼルスの時差は何時間か？,17時間,20時間,18時間,18時間,,,,
6,4,日本とシンガポールの時差は何時間か？,2時間,1時間,0時間,3時間,,,,
6,5,日本とアルゼンチンの時差は何時間か？,12時間,13時間,11時間,10時間,,,,
